,Unnamed: 0,index,Link,Posting Date,Location,City,Neighbourhood (Dirty),Address,Pure Rent,Size,Date From,Date To,DataFrame Date,Deposit,Lease term,EUR / SQM,Name,Neighbourhood,Date To (Year - Month),Latitude,Longitude
2102,2102,9310974,www.wg-gesucht.de/wg-zimmer-in-Berlin-Berlin.9310974.html,27.07.2023,"Berlin
                                                                    Britz",Berlin,                                                                   Britz,Muster Str. 1,20.0,35,2023-07-29,2023-08-06,20230813,5000,1.0,0.5714285714285714,27.07.2023-20.0-0.5714285714285714 Berlin,Britz,2023-08,Location not found: Britz,Location not found: Britz
2103,2103,10296923,www.wg-gesucht.de/wg-zimmer-in-Berlin-berlin.10296923.html,27.07.2023,"Berlin
                                                                    berlin",Berlin,                                                                   berlin,Muster Str. 1,500.0,25,2023-08-01,2023-08-31,20230813,5000,0.0,20.0,27.07.2023-500.0-20.0 Berlin,Berlin,2023-08,Location not found: Berlin,Location not found: Berlin
2104,2104,10309427,www.wg-gesucht.de/wg-zimmer-in-Berlin-Charlottenburg.10309427.html,27.07.2023,"Berlin
                                                                    Berlin",Berlin,                                                                   Berlin,Muster Str. 1,360.0,22,2023-08-04,2023-08-21,20230813,5000,0.0,16.363636363636363,27.07.2023-360.0-16.363636363636363 Berlin,Berlin,2023-08,Location not found: Berlin,Location not found: Berlin
2105,2105,10302959,www.wg-gesucht.de/wg-zimmer-in-Berlin-Lichtenberg.10302959.html,27.07.2023,"Berlin
                                                                    berlin",Berlin,                                                                   berlin,Muster Str. 1,500.0,25,2023-08-02,2023-08-31,20230813,5000,0.0,20.0,27.07.2023-500.0-20.0 Berlin,Berlin,2023-08,Location not found: Berlin,Location not found: Berlin
2106,2106,10072405,www.wg-gesucht.de/wg-zimmer-in-Berlin-Zehlendorf.10072405.html,27.07.2023,"Berlin
                                                                    Charlottenburg",Berlin,                                                                   Charlottenburg,Muster Str. 1,700.0,30,2023-08-01,2023-11-30,20230813,5000,3.0,23.333333333333332,27.07.2023-700.0-23.333333333333332 Berlin,Charlottenburg,2023-11,Location not found: Charlottenburg,Location not found: Charlottenburg
2107,2107,9914086,www.wg-gesucht.de/wg-zimmer-in-Berlin-Lankwitz.9914086.html,27.07.2023,"Berlin
                                                                    Lichtenberg",Berlin,                                                                   Lichtenberg,Muster Str. 1,700.0,18,2023-09-05,2024-03-31,20230813,5000,6.0,38.888888888888886,27.07.2023-700.0-38.888888888888886 Berlin,Lichtenberg,2024-03,Location not found: Lichtenberg,Location not found: Lichtenberg
2108,2108,10312335,www.wg-gesucht.de/wg-zimmer-in-Berlin-Berlin.10312335.html,27.07.2023,"Berlin
                                                                    Zehlendorf",Berlin,                                                                   Zehlendorf,Muster Str. 1,480.0,13,2023-08-22,2023-09-21,20230813,5000,1.0,36.92307692307692,27.07.2023-480.0-36.92307692307692 Berlin,Zehlendorf,2023-09,Location not found: Zehlendorf,Location not found: Zehlendorf
2109,2109,10247921,www.wg-gesucht.de/wg-zimmer-in-Berlin-Kreuzberg.10247921.html,27.07.2023,"Berlin
                                                                    Lankwitz",Berlin,                                                                   Lankwitz,Muster Str. 1,250.0,25,2023-09-14,2023-09-26,20230813,5000,0.0,10.0,27.07.2023-250.0-10.0 Berlin,Lankwitz,2023-09,Location not found: Lankwitz,Location not found: Lankwitz
2110,2110,5332778,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain.5332778.html,27.07.2023,"Berlin
                                                                    Berlin",Berlin,                                                                   Berlin,Muster Str. 1,700.0,12,2023-08-15,,20230813,5000,,58.333333333333336,27.07.2023-700.0-58.333333333333336 Berlin,Berlin,,Location not found: Berlin,Location not found: Berlin
2111,2111,10312305,www.wg-gesucht.de/wg-zimmer-in-Berlin-Baumschulenweg.10312305.html,27.07.2023,"Berlin
                                                                    Kreuzberg",Berlin,                                                                   Kreuzberg,Muster Str. 1,300.0,33,2023-08-01,2023-08-17,20230813,5000,0.0,9.090909090909092,27.07.2023-300.0-9.090909090909092 Berlin,Kreuzberg,2023-08,Location not found: Kreuzberg,Location not found: Kreuzberg
2112,2112,9532943,www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.9532943.html,27.07.2023,"Berlin
                                                                    Friedrichshain",Berlin,                                                                   Friedrichshain,Muster Str. 1,600.0,15,2023-07-30,2023-09-30,20230813,5000,2.0,40.0,27.07.2023-600.0-40.0 Berlin,Friedrichshain,2023-09,Location not found: Friedrichshain,Location not found: Friedrichshain
2113,2113,8287801,www.wg-gesucht.de/wg-zimmer-in-Berlin-Mitte-Prenzlauer-Berg.8287801.html,26.07.2023,"Berlin
                                                                    Baumschulenweg",Berlin,                                                                   Baumschulenweg,Muster Str. 1,600.0,25,2023-07-26,,20230813,5000,,24.0,26.07.2023-600.0-24.0 Berlin,Berlin,,Location not found: Berlin,Location not found: Berlin
2114,2114,9057819,www.wg-gesucht.de/wg-zimmer-in-Berlin-Tempelhof-Schoeneberg.9057819.html,26.07.2023,"Berlin
                                                                    Neukölln",Berlin,                                                                   Neukölln,Muster Str. 1,900.0,20,2023-09-01,2023-09-30,20230813,5000,0.0,45.0,26.07.2023-900.0-45.0 Berlin,Neukölln,2023-09,Location not found: Neukölln,Location not found: Neukölln
2115,2115,10311786,www.wg-gesucht.de/wg-zimmer-in-Berlin-Siemensstadt.10311786.html,26.07.2023,"Berlin
                                                                    Mitte/Prenzlauer Berg",Berlin,                                                                   Mitte/Prenzlauer Berg,Muster Str. 1,600.0,24,2023-07-31,2023-10-31,20230813,5000,3.0,25.0,26.07.2023-600.0-25.0 Berlin,Mitte,2023-10,Location not found: Mitte,Location not found: Mitte
2116,2116,9662289,www.wg-gesucht.de/wg-zimmer-in-Berlin-Steglitz-Zehlendorf.9662289.html,26.07.2023,"Berlin
                                                                    Tempelhof-Schöneberg",Berlin,                                                                   Tempelhof-Schöneberg,Muster Str. 1,470.0,18,2023-08-02,2023-11-30,20230813,5000,3.0,26.11111111111111,26.07.2023-470.0-26.11111111111111 Berlin,Schöneberg,2023-11,Location not found: Schöneberg,Location not found: Schöneberg
2117,2117,9674465,www.wg-gesucht.de/wg-zimmer-in-Berlin-Charlottenburg.9674465.html,26.07.2023,"Berlin
                                                                    Siemensstadt",Berlin,                                                                   Siemensstadt,Muster Str. 1,550.0,10,2023-08-01,2024-03-01,20230813,5000,7.0,55.0,26.07.2023-550.0-55.0 Berlin,Siemensstadt,2024-03,Location not found: Siemensstadt,Location not found: Siemensstadt
