Posting Date,Pure Rent,Size,Date From,Date To,Lease term,EUR / SQM,Name,Neighbourhood,Date To (Year - Month),Latitude,Longitude
12.04.2023,760,17,2023-04-12,,,44.70588235,12.04.2023-760.0-44.705882352941174 Berlin  Lichtenberg,Lichtenberg,,48.9212959,7.4812268
12.04.2023,1150,72,2023-05-01,2023-06-30,1,15.97222222,12.04.2023-1150.0-15.972222222222221 Berlin,Berlin,2023-06,52.5170365,13.3888599
12.04.2023,280,61,2023-05-16,2023-05-21,0,4.590163934,12.04.2023-280.0-4.590163934426229 Berlin  Kreuzberg,Kreuzberg,2023-05,52.4976443,13.411914
12.04.2023,480,38,2023-05-15,2023-05-29,0,12.63157895,12.04.2023-480.0-12.631578947368421 Berlin  Treptow,Treptow,2023-05,54.0627026,15.2657157
12.04.2023,800,70,2023-04-16,2023-04-30,0,11.42857143,12.04.2023-800.0-11.428571428571429 Berlin  Kreuzberg,Kreuzberg,2023-04,52.4976443,13.411914
12.04.2023,1100,36,2023-04-12,2023-12-31,8,30.55555556,12.04.2023-1100.0-30.555555555555557 Berlin  Steglitz,Steglitz,2023-12,52.4572569,13.3222865
12.04.2023,1100,36,2023-04-12,2023-12-31,8,30.55555556,12.04.2023-1100.0-30.555555555555557 Berlin  Lichterfelde,Lichterfelde,2023-12,52.437293,13.3138645
12.04.2023,890,30,2023-04-13,,,29.66666667,12.04.2023-890.0-29.666666666666668 Wohnungen von HousingAnywhere*,Berlin,,52.5170365,13.3888599
12.04.2023,870,30,2023-04-13,,,29,12.04.2023-870.0-29.0 Wohnungen von Spotahome*,Berlin,,52.5170365,13.3888599
12.04.2023,880,65,2023-05-01,2023-08-31,3,13.53846154,12.04.2023-880.0-13.538461538461538 Berlin  Schöneberg,Schöneberg,2023-08,52.482157,13.3551901
12.04.2023,1170,22,2023-05-01,,,53.18181818,12.04.2023-1170.0-53.18181818181818 Berlin  Friedrichshain,Friedrichshain,,52.5122154,13.4502904
12.04.2023,1500,55,2023-05-01,2023-06-15,1,27.27272727,12.04.2023-1500.0-27.272727272727273 Berlin  Mitte,Mitte,2023-06,52.5178855,13.4040601
12.04.2023,65,52,2023-04-12,2023-04-28,0,1.25,12.04.2023-65.0-1.25 Berlin  Schöneberg,Schöneberg,2023-04,52.482157,13.3551901
12.04.2023,1800,70,2023-05-01,2023-12-01,7,25.71428571,12.04.2023-1800.0-25.714285714285715 Berlin  Prenzlauer Berg,Prenzlauer Berg,2023-12,52.5398466,13.4285652
12.04.2023,1000,100,2023-05-01,2023-05-14,0,10,12.04.2023-1000.0-10.0 Berlin  Kreuzberg,Kreuzberg,2023-05,52.4976443,13.411914
12.04.2023,1500,75,2023-05-13,2023-07-13,2,20,12.04.2023-1500.0-20.0 Berlin  Neukölln,Neukölln,2023-07,52.4811497,13.4353501
12.04.2023,1700,110,2023-05-01,2023-06-30,1,15.45454545,12.04.2023-1700.0-15.454545454545455 Berlin,Berlin,2023-06,52.5170365,13.3888599
12.04.2023,700,20,2023-04-12,2023-06-14,2,35,12.04.2023-700.0-35.0 Berlin  Rummelsburg,Rummelsburg,2023-06,52.5013696,13.4835143
12.04.2023,1280,100,2023-04-28,2023-05-28,1,12.8,12.04.2023-1280.0-12.8 Berlin  Friedrichshain / Lichtenberg,Friedrichshain,2023-05,52.5122154,13.4502904
12.04.2023,1000,65,2023-04-15,2023-08-01,4,15.38461538,12.04.2023-1000.0-15.384615384615385 Berlin  Gesundbrunnen,Gesundbrunnen,2023-08,52.5509201,13.384846
12.04.2023,1960,71,2023-05-06,2023-06-30,1,27.6056338,12.04.2023-1960.0-27.6056338028169 Berlin  Kreuzberg,Kreuzberg,2023-06,52.4976443,13.411914
12.04.2023,1000,60,2023-05-01,,,16.66666667,12.04.2023-1000.0-16.666666666666668 Berlin,Berlin,,52.5170365,13.3888599
12.04.2023,670,36,2023-04-15,2023-12-01,8,18.61111111,12.04.2023-670.0-18.61111111111111 Berlin  Zehlendorf,Zehlendorf,2023-12,52.4343217,13.2589298
12.04.2023,1100,60,2023-05-01,2023-05-31,0,18.33333333,12.04.2023-1100.0-18.333333333333332 Berlin  Friedrichshain,Friedrichshain,2023-05,52.5122154,13.4502904
12.04.2023,300,36,2023-04-28,2023-05-05,1,8.333333333,12.04.2023-300.0-8.333333333333334 Berlin  Wedding,Wedding,2023-05,52.550123,13.34197
12.04.2023,1300,50,2023-04-25,2023-06-30,2,26,12.04.2023-1300.0-26.0 Berlin  Prenzlauer Berg,Prenzlauer Berg,2023-06,52.5398466,13.4285652
12.04.2023,700,60,2023-04-12,2023-04-28,0,11.66666667,12.04.2023-700.0-11.666666666666666 Berlin  Prenzlauer Berg,Prenzlauer Berg,2023-04,52.5398466,13.4285652
12.04.2023,2500,91,2023-05-01,2023-10-31,5,27.47252747,12.04.2023-2500.0-27.47252747252747 Berlin  Charlottenburg,Charlottenburg,2023-10,52.515747,13.3096834
12.04.2023,1190,50,2023-05-01,2024-03-30,10,23.8,12.04.2023-1190.0-23.8 Berlin  Friedrichshain,Friedrichshain,2024-03,52.5122154,13.4502904
12.04.2023,690,40,2023-04-13,,,17.25,12.04.2023-690.0-17.25 Wohnungen von HousingAnywhere*,Berlin,,52.5170365,13.3888599
12.04.2023,630,40,2023-04-13,,,15.75,12.04.2023-630.0-15.75 Wohnungen von Spotahome*,Berlin,,52.5170365,13.3888599
12.04.2023,845,55,2023-05-01,2023-07-15,2,15.36363636,12.04.2023-845.0-15.363636363636363 Berlin  Berlin,Berlin,2023-07,52.5170365,13.3888599
11.04.2023,490,48,2023-04-15,2023-04-30,0,10.20833333,11.04.2023-490.0-10.208333333333334 Berlin  Lichtenberg,Lichtenberg,2023-04,48.9212959,7.4812268
11.04.2023,800,55,2023-05-03,2023-09-25,4,14.54545455,11.04.2023-800.0-14.545454545454545 Berlin  Kreuzberg,Kreuzberg,2023-09,52.4976443,13.411914
11.04.2023,650,24,2023-05-01,2023-05-31,0,27.08333333,11.04.2023-650.0-27.083333333333332 Berlin  Köpenick,Köpenick,2023-05,52.4539099,13.5764126
11.04.2023,880,55,2022-09-21,,,16,11.04.2023-880.0-16.0 Berlin  Reinickendorf,Reinickendorf,,52.6047631,13.2952872
11.04.2023,890,54,2023-04-12,2023-09-30,5,16.48148148,11.04.2023-890.0-16.48148148148148 Berlin  Reinickendorf,Reinickendorf,2023-09,52.6047631,13.2952872
11.04.2023,800,40,2023-05-16,2023-06-12,1,20,11.04.2023-800.0-20.0 Berlin  kreuzberg,Kreuzberg,2023-06,52.4976443,13.411914
11.04.2023,260,50,2023-04-13,2023-04-21,0,5.2,11.04.2023-260.0-5.2 Berlin  Neukölln,Neukölln,2023-04,52.4811497,13.4353501
