Data ID,Link,Posting Date,City,Address,Pure Rent,Service Charge,Other Charge,Total cost,Size,Date From,Date To,DataFrame,Deposit,Lease term,EUR / SQM,Name,Neighbourhood,Date To (Year - Month),Latitude,Longitude
8942055,www.wg-gesucht.de/wg-zimmer-in-Berlin-Berlin.8942055.html,12.07.2022,Berlin,Muster Str. 1,32,,,,55,2022-07-24,2022-07-30,20230424,,0,0.5818181818,12.07.2022-32.0-0.5818181818181818 Berlin,Berlin,2022-07,52.5170365,13.3888599
8821795,www.wg-gesucht.de/wg-zimmer-in-Berlin-Prenzlauer-Berg.8821795.html,11.07.2022,Berlin,Muster Str. 1,460,,,,20,2022-07-11,2022-08-31,20230424,,1,23,11.07.2022-460.0-23.0 Berlin,Wedding,2022-08,52.550123,13.34197
6599044,www.wg-gesucht.de/wg-zimmer-in-Berlin-Treptow.6599044.html,10.07.2022,Berlin,Muster Str. 1,340,,,,14,2022-07-10,2022-12-31,20230424,,5,24.28571429,10.07.2022-340.0-24.285714285714285 Berlin,Berlin,2022-12,52.5170365,13.3888599
9196676,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain.9196676.html,10.07.2022,Berlin,Muster Str. 1,28,,,,10,2022-07-10,2024-09-01,20230424,,26,2.8,10.07.2022-28.0-2.8 Berlin,Prenzlauer Berg,2024-09,52.5398466,13.4285652
9448927,www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.9448927.html,10.07.2022,Berlin,Muster Str. 1,35,,,,12,2022-07-10,2025-12-01,20230424,,41,2.916666667,10.07.2022-35.0-2.9166666666666665 Berlin,Treptow,2025-12,54.0627026,15.2657157
9448224,www.wg-gesucht.de/wg-zimmer-in-Berlin-Fennpfuhl.9448224.html,25.04.2023,Zimmervon HousingAnywhere*,Muster Str. 1,200,,,,22,2023-04-26,,20230424,,,9.090909091,25.04.2023-200.0-9.090909090909092 Zimmervon HousingAnywhere*,Berlin,,52.5170365,13.3888599
9444537,www.wg-gesucht.de/wg-zimmer-in-Berlin-Kreuzberg.9444537.html,25.04.2023,Zimmervon Spotahome*,Muster Str. 1,200,,,,14,2023-04-26,,20230424,,,14.28571429,25.04.2023-200.0-14.285714285714286 Zimmervon Spotahome*,Berlin,,52.5170365,13.3888599
4383919,www.wg-gesucht.de/wg-zimmer-in-Berlin-Friedrichshain.4383919.html,07.07.2022,Berlin,Muster Str. 1,25,,,,1,2022-08-01,2022-09-01,20230424,,1,25,07.07.2022-25.0-25.0 Berlin,Berlin,2022-09,52.5170365,13.3888599
9436407,www.wg-gesucht.de/wg-zimmer-in-Berlin-Kreuzberg.9436407.html,05.07.2022,Berlin,Muster Str. 1,25,,,,15,2022-08-01,2023-09-01,20230424,,13,1.666666667,05.07.2022-25.0-1.6666666666666667 Berlin,Kreuzberg,2023-09,52.4976443,13.411914
9420146,www.wg-gesucht.de/wg-zimmer-in-Berlin-Neukoelln.9420146.html,03.07.2022,Berlin,Muster Str. 1,350,,,,14,2022-06-05,2022-08-15,20230424,,2,25,03.07.2022-350.0-25.0 Berlin,Friedrichshain,2022-08,52.5122154,13.4502904
